Index,Label,X,Y,Feret,FeretAngle
321,mela_083_fov-01.tiff:0321-0188,837.395,465.605,8.602,54.462
362,mela_083_fov-01.tiff:0362-0216,682.611,437.556,8.602,54.462
472,mela_083_fov-01.tiff:0472-0308,264.929,345.119,8.602,54.462
626,mela_083_fov-01.tiff:0626-0478,423.55,175.45,8.602,54.462
137,mela_083_fov-01.tiff:0137-0081,711.093,572.796,12.207,55.008
724,mela_083_fov-01.tiff:0724-0581,99.5,73.086,12.207,55.008
253,mela_083_fov-01.tiff:0253-0148,282.614,505.329,15.811,55.305
441,mela_083_fov-01.tiff:0441-0276,238.782,377.321,15.811,55.305
1,mela_083_fov-01.tiff:0001-0005,447.02,648.62,10.817,56.31
51,mela_083_fov-01.tiff:0051-0033,773.1,621.033,7.211,56.31
67,mela_083_fov-01.tiff:0067-0042,973,612,7.211,56.31
98,mela_083_fov-01.tiff:0098-0063,496.035,590.616,18.028,56.31
105,mela_083_fov-01.tiff:0105-0062,878.8,592,7.211,56.31
241,mela_083_fov-01.tiff:0241-0138,604.052,515.81,7.211,56.31
248,mela_083_fov-01.tiff:0248-0144,676.708,509.625,10.817,56.31
270,mela_083_fov-01.tiff:0270-0157,634.22,496.1,10.817,56.31
333,mela_083_fov-01.tiff:0333-0195,899,459,7.211,56.31
392,mela_083_fov-01.tiff:0392-0234,933.056,420.111,7.211,56.31
648,mela_083_fov-01.tiff:0648-0500,56.088,153.971,7.211,56.31
421,mela_083_fov-01.tiff:0421-0262,231.598,391.866,16.643,57.265
102,mela_083_fov-01.tiff:0102-0062,600.667,591.367,13.038,57.529
142,mela_083_fov-01.tiff:0142-0086,718.629,567.403,13.038,57.529
471,mela_083_fov-01.tiff:0471-0309,382.406,344.594,13.038,57.529
691,mela_083_fov-01.tiff:0691-0545,256.147,107.941,13.038,57.529
754,mela_083_fov-01.tiff:0754-0629,152.206,24.765,13.038,57.529
5,mela_083_fov-01.tiff:0005-0008,854.455,646.182,9.434,57.995
108,mela_083_fov-01.tiff:0108-0067,967.857,586.893,9.434,57.995
152,mela_083_fov-01.tiff:0152-0092,1220.25,562.3,9.434,57.995
218,mela_083_fov-01.tiff:0218-0128,735.935,526.674,9.434,57.995
549,mela_083_fov-01.tiff:0549-0401,239.864,252.591,9.434,57.995
686,mela_083_fov-01.tiff:0686-0537,199.625,117,9.434,57.995
700,mela_083_fov-01.tiff:0700-0552,68.375,102.292,9.434,57.995
55,mela_083_fov-01.tiff:0055-0039,1093.553,614.868,15.264,58.392
451,mela_083_fov-01.tiff:0451-0286,166.895,367.605,15.264,58.392
583,mela_083_fov-01.tiff:0583-0437,254.593,216.314,15.264,58.392
675,mela_083_fov-01.tiff:0675-0528,45.306,125.778,15.264,58.392
713,mela_083_fov-01.tiff:0713-0572,19.659,81.023,15.264,58.392
89,mela_083_fov-01.tiff:0089-0056,573.071,597.929,11.662,59.036
216,mela_083_fov-01.tiff:0216-0131,474.765,522.316,17.493,59.036
746,mela_083_fov-01.tiff:0746-0617,95.011,36.564,19.723,59.534
224,mela_083_fov-01.tiff:0224-0132,794.076,522.197,13.892,59.744
527,mela_083_fov-01.tiff:0527-0378,124.076,275.773,13.892,59.744
627,mela_083_fov-01.tiff:0627-0485,385.518,168.482,21.954,59.931
29,mela_083_fov-01.tiff:0029-0022,855.111,631.389,8.062,60.255
15,mela_083_fov-01.tiff:0015-0018,1063.459,635.847,18.358,60.642
230,mela_083_fov-01.tiff:0230-0138,652.726,516.311,18.358,60.642
129,mela_083_fov-01.tiff:0129-0076,1194.674,577.37,10.296,60.945
312,mela_083_fov-01.tiff:0312-0183,353.542,470.458,10.296,60.945
732,mela_083_fov-01.tiff:0732-0590,414.935,63.152,10.296,60.945
205,mela_083_fov-01.tiff:0205-0123,413.081,530.339,12.53,61.39
377,mela_083_fov-01.tiff:0377-0227,757.694,427.081,12.53,61.39
501,mela_083_fov-01.tiff:0501-0347,450.639,307.028,12.53,61.39
731,mela_083_fov-01.tiff:0731-0589,389.875,64.656,12.53,61.39
107,mela_083_fov-01.tiff:0107-0068,545.529,585.676,14.765,61.699
176,mela_083_fov-01.tiff:0176-0106,819.354,548.183,14.765,61.699
281,mela_083_fov-01.tiff:0281-0165,805.706,488.176,14.765,61.699
327,mela_083_fov-01.tiff:0327-0198,849.802,455.872,17,61.928
576,mela_083_fov-01.tiff:0576-0429,358,224.88,17,61.928
590,mela_083_fov-01.tiff:0590-0441,306.476,213.024,17,61.928
14,mela_083_fov-01.tiff:0014-0021,740.719,633.555,24.597,63.435
109,mela_083_fov-01.tiff:0109-0069,1219.731,585.077,11.18,63.435
163,mela_083_fov-01.tiff:0163-0094,1226.071,560.024,8.944,63.435
178,mela_083_fov-01.tiff:0178-0108,1220.206,546.088,15.652,63.435
203,mela_083_fov-01.tiff:0203-0121,324.463,533.278,11.18,63.435
279,mela_083_fov-01.tiff:0279-0162,821.1,491.9,8.944,63.435
288,mela_083_fov-01.tiff:0288-0168,601.66,486.02,11.18,63.435
301,mela_083_fov-01.tiff:0301-0179,807.786,475.357,8.944,63.435
371,mela_083_fov-01.tiff:0371-0221,688.75,433.4,8.944,63.435
374,mela_083_fov-01.tiff:0374-0225,803.74,428.94,11.18,63.435
