Index,Label,X,Y,Feret,FeretAngle
71,mela_083_fov-01.tiff:0071-0045,402.167,608.278,15.811,161.565
272,mela_083_fov-01.tiff:0272-0157,653.45,496.45,9.487,161.565
290,mela_083_fov-01.tiff:0290-0168,885.06,485.643,12.649,161.565
319,mela_083_fov-01.tiff:0319-0187,637.722,466.544,9.487,161.565
366,mela_083_fov-01.tiff:0366-0217,767.759,436.907,12.649,161.565
440,mela_083_fov-01.tiff:0440-0271,892.694,382.694,15.811,161.565
491,mela_083_fov-01.tiff:0491-0332,445.656,322.219,13.601,162.897
235,mela_083_fov-01.tiff:0235-0132,609.119,521.738,10.44,163.301
234,mela_083_fov-01.tiff:0234-0133,313.038,521.372,14.56,164.055
169,mela_083_fov-01.tiff:0169-0097,341.731,556.615,11.402,164.745
267,mela_083_fov-01.tiff:0267-0151,945.292,502.292,11.402,164.745
562,mela_083_fov-01.tiff:0562-0411,297.6,242.467,11.402,164.745
414,mela_083_fov-01.tiff:0414-0253,397.551,400.654,15.524,165.069
481,mela_083_fov-01.tiff:0481-0322,410.321,332.449,16.492,165.964
482,mela_083_fov-01.tiff:0482-0321,466.923,332.423,12.369,165.964
495,mela_083_fov-01.tiff:0495-0338,270.231,315.731,12.369,165.964
684,mela_083_fov-01.tiff:0684-0531,276.25,123.159,17.464,166.759
95,mela_083_fov-01.tiff:0095-0054,887.433,599.667,13.342,167.005
127,mela_083_fov-01.tiff:0127-0073,669,581,10.198,168.69
171,mela_083_fov-01.tiff:0171-0098,922.231,555.654,10.198,168.69
268,mela_083_fov-01.tiff:0268-0152,744.273,501.136,10.198,168.69
664,mela_083_fov-01.tiff:0664-0512,485.594,141.594,15.297,168.69
390,mela_083_fov-01.tiff:0390-0232,393.421,421.921,18.248,170.538
489,mela_083_fov-01.tiff:0489-0330,313.8,323.3,12.166,170.538
609,mela_083_fov-01.tiff:0609-0453,466.559,200.441,18.248,170.538
115,mela_083_fov-01.tiff:0115-0069,734.806,584.337,19.235,171.027
12,mela_083_fov-01.tiff:0012-0010,464.219,643.281,13.153,171.254
262,mela_083_fov-01.tiff:0262-0149,393.433,504.2,13.153,171.254
376,mela_083_fov-01.tiff:0376-0223,395.293,430.569,13.153,171.254
217,mela_083_fov-01.tiff:0217-0125,561.5,529,15.133,172.405
351,mela_083_fov-01.tiff:0351-0207,701.447,446.605,16.125,172.875
438,mela_083_fov-01.tiff:0438-0269,869.757,384.814,16.125,172.875
715,mela_083_fov-01.tiff:0715-0571,134.212,83.136,24.187,172.875
198,mela_083_fov-01.tiff:0198-0114,934.255,539.704,17.117,173.29
244,mela_083_fov-01.tiff:0244-0139,1216.543,514.457,17.117,173.29
690,mela_083_fov-01.tiff:0690-0538,310.05,115.45,18.111,173.66
280,mela_083_fov-01.tiff:0280-0160,969.726,494.085,20.1,174.289
